"Year","CPI","INFLATION"
"1985","17.759841415328989",NA
"1986","19.486487523377878","9.7200000000000006"
"1987","21.377470367112448","9.6999999999999993"
"1988","22.757676870202332","6.46"
"1989","24.388459882434571","7.17"
"1990","25.278617200732015","3.65"
"1991","28.998031292861331","14.71"
"1992","33.885938796161135","16.86"
"1993","40.70628345490001","20.13"
"1994","42.084639319074512","3.39"
"1995","44.394606813250952","5.49"
"1996","47.165383397356841","6.24"
"1997","50.737139903852714","7.57"
"1998","50.024662430433317","-1.4"
"1999","51.502245067048648","2.95"
"2000","50.897218934914427","-1.17"
"2001","51.239542111461809","0.67"
"2002","53.380674715071969","4.18"
"2003","52.707730633670771","-1.26"
"2004","51.819388150972223","-1.69"
"2005","52.493182705076642","1.3"
"2006","53.930667209730281","2.74"
"2007","57.595133914865869","6.79"
"2008","64.530427977145379","12.04"
"2009","67.453770319649763","4.53"
"2010","71.60209987036616","6.15"
"2011","79.674101455063806","11.27"
"2012","88.346384917142288","10.88"
"2013","91.708521453587323","3.8056300091942941"
"2014","65.436840276861872","2.1200017571813001"
"2015","94.545447909154305","0.95"
"2016","95.020547685039091","0.50250941361158485"
"2017","97.697726323823602","2.8174733823451481"
"2018","97.567423558065627","-0.13337338611760785"
"2019","97.782100897727858","0.22002973106536317"
"2020","96.442706852950039","-1.3697742556980863"
"2021","96.96653511503132","0.54314968873694358"
"2022","99.228903406242736","2.3331433762458165"
"2023","102.1337952443231","2.9274654242501752"
