"Year","GDP","Growth_Rate"
2003,37360.1928190386,NA
2004,39533.1986541584,5.81636675604222
2005,35096.322121149,-11.223166058036
2006,43381.0891453479,23.6057983386427
2007,46471.3095568629,7.12342744821666
2008,50644.3481221292,8.97981702056421
2009,46512.9021147776,-8.15776322638909
2010,49692.2782333372,6.83547139396719
2011,53952.247684247,8.57269902359168
2012,55227.5426425599,2.36374759727622
2013,59073.1725922741,6.96324653552602
2014,63681.5267584068,7.80109475064061
2015,66210.7759627521,3.97171571269122
2016,70562.3045181781,6.57223615363447
2017,75540.1498029726,7.05453899044948
2018,82087.9746691368,8.6680061970257
2019,88079.0306738162,7.29833575359471
2020,59093.2533236977,-32.9088287284424
2021,81257.8739619027,37.5078700047074
2022,92492.6603666036,13.8260895306813
2023,96864.2260209095,4.72639195043021
